r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w, Cl, Cd,  misc
9.897727272727272485e-01,-4.868591521853664617e+00,3.944964865992756131e+01,1.227919069812429126e-01,2.464541971611791560e+00,1.056336118409552105e+00,1.473317445599992559e-01,1.070730523029490566e+00,4.145950304964711819e+01,0.000000000000000000e+00,4.145950304964711108e+01,2.779435489445323260e+00,-7.160721178466152859e-01,-4.868591521853664617e+00,7.659081435240007174e-01,1.209347405078751991e-02,0.000000000000000000e+00
1.102272727272727293e-01,-1.051167405260359677e+00,4.514303318408118493e+00,2.287760028155346459e-01,1.892100584796825302e+00,1.815500897788874940e-02,4.567577872767380684e-03,1.611659444684681031e-01,4.617189203003181142e+00,0.000000000000000000e+00,4.617189203003181142e+00,2.700984148509611993e-01,-3.713900618834946321e-02,-1.051167405260359677e+00,6.977983185966933899e-01,1.234984556725034904e-02,0.000000000000000000e+00
1.306818181818181768e-01,-1.067519714920848184e+00,5.335525964113017494e+00,1.974702615733195665e-01,3.557880455760203731e+00,3.165770272352524256e-02,6.784226126383967499e-03,2.374448805333968515e-01,5.473987199436760598e+00,0.000000000000000000e+00,5.473987199436760598e+00,3.259036890438880008e-01,-2.827931962639855523e-02,-1.067519714920848184e+00,8.817732630344530254e-01,1.202472827345612248e-02,0.000000000000000000e+00
1.511363636363636520e-01,-1.131137427718664767e+00,6.156592128179743995e+00,1.817014342442270780e-01,4.333460732843565921e+00,4.546457642645323344e-02,8.968503108818135991e-03,2.954271211708192069e-01,6.330785195870340942e+00,0.000000000000000000e+00,6.330785195870340942e+00,3.789664946549815006e-01,-1.765557865863685849e-02,-1.131137427718664767e+00,9.602792282583756389e-01,1.254343015696111029e-02,0.000000000000000000e+00
1.715909090909090995e-01,-1.215643956740440235e+00,6.979376460732728660e+00,1.724466075745059446e-01,4.735816264399517195e+00,6.022675383737412236e-02,1.129563049929800667e-02,3.451657999482181660e-01,7.187583192303921287e+00,0.000000000000000000e+00,7.187583192303919510e+00,4.258752129103115514e-01,-5.462743775518766332e-03,-1.215643956740440235e+00,9.982536065661158364e-01,1.292939789083947036e-02,0.000000000000000000e+00
1.920454545454545470e-01,-1.312572073835064579e+00,7.805133153030444859e+00,1.666088834319309764e-01,4.942386242986502864e+00,7.613970438600094204e-02,1.381917348019254255e-02,3.901671274437473746e-01,8.044381188737501631e+00,0.000000000000000000e+00,8.044381188737501631e+00,4.639091733693966324e-01,8.421749512758730516e-03,-1.312572073835064579e+00,1.017134102608966417e+00,1.315662486728515386e-02,0.000000000000000000e+00
2.124999999999999944e-01,-1.416313577963669079e+00,8.634633615586611910e+00,1.625793186534888746e-01,5.045356321321619930e+00,9.327893505015415199e-02,1.654601441259997974e-02,4.320551555637226482e-01,8.901179185171081087e+00,0.000000000000000000e+00,8.901179185171081087e+00,4.915744141059175121e-01,2.396969239100691859e-02,-1.416313577963669079e+00,1.026028505705729676e+00,1.331524827477540210e-02,0.000000000000000000e+00
2.329545454545454697e-01,-1.523910300039792887e+00,9.468231985009746055e+00,1.595812430864001763e-01,5.089226421232906361e+00,1.116944932304769211e-01,1.947258887038801761e-02,4.717894096018503958e-01,9.757977181604662320e+00,0.000000000000000000e+00,9.757977181604662320e+00,5.086520455856895495e-01,4.089853905819863800e-02,-1.523910300039792887e+00,1.029538113698632573e+00,1.340737548458910411e-02,0.000000000000000000e+00
2.534090909090909172e-01,-1.633669312892866987e+00,1.030589793740377758e+01,1.572098250268546271e-01,5.097191690761782468e+00,1.314236619648311288e-01,2.259223769902379136e-02,5.099878441704470688e-01,1.061477517803824178e+01,0.000000000000000000e+00,1.061477517803824178e+01,5.158749882527762232e-01,5.882015271777679688e-02,-1.633669312892866987e+00,1.030175335260942626e+00,1.342410255059974314e-02,0.000000000000000000e+00
2.738636363636363646e-01,-1.743796813682368274e+00,1.114730058727229078e+01,1.551745998935915027e-01,5.085894524512525550e+00,1.524760465089260164e-01,2.589002164914295731e-02,5.470051188623673566e-01,1.147157317447182123e+01,0.000000000000000000e+00,1.147157317447182123e+01,5.144542217944956253e-01,7.741744758214048894e-02,-1.743796813682368274e+00,1.029271561961002002e+00,1.340037850147630417e-02,0.000000000000000000e+00
