r, v_axial, v_tangential, inflowangle, alpha, Faxial, Ftan, Gammas, v_rot_norm, v_rot_a, v_rot_t, u, v, w,  misc
2.561224489795918546e-01,-1.917152915846407790e+00,1.045651108049481337e+01,1.813314217505958559e-01,3.693808173917453530e+00,1.059325394844512908e-01,2.090566450275371801e-02,4.513749998680272046e-01,1.072843205511616560e+01,0.000000000000000000e+00,1.072843205511616560e+01,6.648083090682763707e-01,-6.983996040818266082e-02,-1.917152915846407790e+00,0.000000000000000000e+00
2.744897959183673630e-01,-2.034759855546838025e+00,1.121014764993648960e+01,1.795556779439188289e-01,3.680967466203208360e+00,1.207509927821308060e-01,2.360880307618429957e-02,4.799150867653777519e-01,1.149780168456672591e+01,0.000000000000000000e+00,1.149780168456672591e+01,6.608805527662121593e-01,-4.940529638726250811e-02,-2.034759855546838025e+00,0.000000000000000000e+00
2.928571428571428714e-01,-2.150888625017622235e+00,1.196676205544363825e+01,1.778396951806634485e-01,3.664702702921603716e+00,1.364105446951193457e-01,2.642960954583888772e-02,5.078635136033735620e-01,1.226717131401728977e+01,0.000000000000000000e+00,1.226717131401728977e+01,6.499430109723304261e-01,-2.836203973368477127e-02,-2.150888625017622235e+00,0.000000000000000000e+00
3.112244897959184353e-01,-2.265077326584088446e+00,1.272585787067022345e+01,1.761454818794807309e-01,3.647190641340968043e+00,1.529027458418830421e-01,2.935877926302018701e-02,5.352970493594666479e-01,1.303654094346785364e+01,0.000000000000000000e+00,1.303654094346785364e+01,6.333254137170492015e-01,-6.904686669426321824e-03,-2.265077326584088446e+00,0.000000000000000000e+00
3.295918367346939437e-01,-2.377067980576143214e+00,1.348693850893548252e+01,1.744579101180039893e-01,3.629298047565709950e+00,1.702065824308805486e-01,3.238638605931940667e-02,5.622384850581469973e-01,1.380591057291841395e+01,0.000000000000000000e+00,1.380591057291841395e+01,6.119788600010880320e-01,1.499105444904023574e-02,-2.377067980576143214e+00,0.000000000000000000e+00
3.479591836734694521e-01,-2.486732503842744357e+00,1.424956585025741518e+01,1.727729636652332867e-01,3.611255034681676079e+00,1.882930157587039410e-01,3.550234588724550389e-02,5.886825323877317162e-01,1.457528020236897603e+01,0.000000000000000000e+00,1.457528020236897426e+01,5.865360901551978090e-01,3.746576820053544588e-02,-2.486732503842744357e+00,0.000000000000000000e+00
3.663265306122449605e-01,-2.594016956787910999e+00,1.501337826298027878e+01,1.710911779258393883e-01,3.593030926260903257e+00,2.071286683655448047e-01,3.869670132842177590e-02,6.146124465003113269e-01,1.534464983181953812e+01,0.000000000000000000e+00,1.534464983181953457e+01,5.573965811852168439e-01,6.070639269576519337e-02,-2.594016956787910999e+00,0.000000000000000000e+00
3.846938775510204689e-01,-2.698903791639813754e+00,1.577808748159447916e+01,1.694143004754763149e-01,3.574525593594032102e+00,2.266784605158173871e-01,4.195977184282395633e-02,6.400096005805067101e-01,1.611401946127010021e+01,0.000000000000000000e+00,1.611401946127010021e+01,5.248047803670492506e-01,8.490465657332750549e-02,-2.698903791639813754e+00,0.000000000000000000e+00
4.030612244897959773e-01,-2.801388688218040990e+00,1.654346663906094506e+01,1.677438098479353545e-01,3.555654322934955758e+00,2.469072949116049576e-01,4.528221472132465397e-02,6.648582689965497616e-01,1.688338909072065874e+01,0.000000000000000000e+00,1.688338909072065874e+01,4.889113154198471145e-01,1.102355583711616960e-01,-2.801388688218040990e+00,0.000000000000000000e+00
4.214285714285714857e-01,-2.901467959606625513e+00,1.730933600474461187e+01,1.660804315211610871e-01,3.536375547459320146e+00,2.677809785328848502e-01,4.865503170500135727e-02,6.891474042405044687e-01,1.765275872017122083e+01,0.000000000000000000e+00,1.765275872017122083e+01,4.498165396783020409e-01,1.368486941255584177e-01,-2.901467959606625513e+00,0.000000000000000000e+00
